tijdstip,weg,titel,richting,traject,oorzaak,vertraging_min,lengte_m,lat,lon,start_tijd,file_id
2026-07-10 12:33,A1,Stilstaand verkeer,Hengelo - Osnabrück,Tussen De Lutte (34) en Duitsland.,Door grenscontrole,7.0,2300,52.31377,7.043839,2026-07-10 10:38,10005346238
2026-07-10 12:33,A1,Langzaam rijdend verkeer,Amsterdam - Amersfoort,Tussen Naarden-Vesting (6) en Blaricum (8).,,8.0,3400,52.273624,5.191598,2026-07-10 11:28,10005346345
2026-07-10 12:33,A2,Stilstaand verkeer,Utrecht - 's-Hertogenbosch,Tussen knooppunt Oudenrijn en Everdingen (12).,Wegwerkzaamheden op aansluitende weg,30.0,10300,51.96923,5.109711,2026-07-10 11:27,10005346342
2026-07-10 12:33,A2,Langzaam rijdend verkeer,Eindhoven - Maastricht,Tussen Leenderheide/Randweg N2 en Leende (35).,,12.0,6700,51.33768,5.568793,2026-07-10 11:34,10005346377
2026-07-10 12:33,A2,Stilstaand verkeer,Utrecht - 's-Hertogenbosch,Op de verbindingsweg van de A2 vanuit Amsterdam naar de A12 richting Arnhem.,,10.0,1800,52.061695,5.0867257,2026-07-10 11:59,10005346488
2026-07-10 12:33,A2,Stilstaand verkeer,Utrecht - 's-Hertogenbosch,Tussen Culemborg (13) en knooppunt Deil.,,20.0,5600,51.857414,5.227912,2026-07-10 12:04,10005346498
2026-07-10 12:33,A2,Langzaam rijdend verkeer,Eindhoven - Maastricht,Tussen knooppunt Batadorp en knooppunt De Hogt.,,4.0,2200,51.462807,5.406876,2026-07-10 12:09,10005346521
2026-07-10 12:33,A2,Langzaam rijdend verkeer,'s-Hertogenbosch - Utrecht,Tussen Rosmalen-West (20) en de Maasbrug.,,4.0,2600,51.73227,5.312087,2026-07-10 12:13,10005346537
2026-07-10 12:33,A2,Langzaam rijdend verkeer,Maastricht - Eindhoven,Tussen Born (47) en Echt (45).,Eerder pechgeval,12.0,5000,51.086636,5.832966,2026-07-10 12:13,10005346536
2026-07-10 12:33,A2,Langzaam rijdend verkeer,Maastricht - Eindhoven,Tussen knooppunt Leenderheide en knooppunt Batadorp.,,8.0,3000,51.41373,5.429693,2026-07-10 12:30,10005346613
2026-07-10 12:33,A4,Langzaam rijdend verkeer,Rotterdam - Den Haag,Tussen Den Haag-Zuid (12) en Den Haag-Ypenburg (9).,,8.0,5400,52.042656,4.34753,2026-07-10 12:03,10005346493
2026-07-10 12:33,A4,Langzaam rijdend verkeer,Den Haag - Rotterdam,Tussen knooppunt Ypenburg en Slinksloot.,,21.0,9600,51.976315,4.335456,2026-07-10 12:08,10005346516
2026-07-10 12:33,A4,Langzaam rijdend verkeer,Amsterdam - Den Haag,Tussen knooppunt Hofvliet en Leidschendam (8).,,5.0,3100,52.08454,4.413665,2026-07-10 12:24,10005346583
2026-07-10 12:33,A6,Langzaam rijdend verkeer,Lelystad - Joure,Tussen knooppunt Emmeloord en Emmeloord (15).,,5.0,2800,52.72331,5.77129,2026-07-10 12:31,10005346618
2026-07-10 12:33,A7,Stilstaand verkeer,Westerbroek - Bremen,Tussen Oudeschans (48) en Duitsland.,Door grenscontrole,38.0,3800,53.18038,7.227433,2026-07-10 10:04,10005346187
2026-07-10 12:33,A7,Stilstaand verkeer,Knooppunt Zurich - Hoorn,Tussen Breezanddijk en Den Helder (14).,,13.0,3600,52.93327,5.039222,2026-07-10 11:27,10005346344
2026-07-10 12:33,A7,Stilstaand verkeer,Den Oever - Knooppunt Zurich,Tussen Breezanddijk en de brug over de Lorentzsluis.,,12.0,3500,53.073807,5.335642,2026-07-10 12:16,10005346548
